Last Activity,Account Name,Billing State/Province,Type,Last Modified Date,Total Contacts,Total Opportunities,Website,Domain,CRD Number,Brochure URL
,Double Eagle,Texas,Prospect,1/14/2026,1,0,http://www.doubleeaglecapital.com,doubleeaglecapital.com,135522,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=958345
,Dynasty We,New York,Prospect,1/10/2026,0,0,https://www.dynastypwm.com,dynastyfinancialpartners.com,153377,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=995268
,Euphrates,District of Columbia,Prospect,1/10/2026,0,0,,euph.com,167257,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=951354
7/19/2022,First Trust,Illinois,Prospect,1/10/2026,21,0,http://www.ftportfolios.com,ftportfolios.com,107027,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=969961
1/14/2026,Fisher Inves,Texas,Prospect,1/20/2026,53,0,https://www.fisherinvestments.com,fisherinvestments.com,107342,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=990186
,Founders C,California,Prospect,1/14/2026,1,0,https://www.founderscircle.com,founderscircle.com,166012,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=953884
,Frontier Glo,Massachusetts,Prospect,1/10/2026,0,0,https://www.frontierglobalpartners.com,frontierglobalpartners.com,145341,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=947163
,Geode Cap,Massachusetts,Prospect,1/14/2026,32,0,https://www.geodecapital.com,geodecapital.com,132365,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=708727
,Growth Inte,Florida,Prospect,1/10/2026,0,0,https://www.growthinterface.io,growthinterface.com,297844,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=835075
,Harris Asso,Illinois,Prospect,1/10/2026,1,0,https://www.weareharris.com,harrisassoc.com,106960,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=984703
6/17/2022,HighTower,Illinois,Prospect,1/10/2026,10,0,https://high.hightoweradvisors.com,hightoweradvisors.com,145323,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=966158
,Hot Creek,Washington,Prospect,1/10/2026,0,0,http://www.hotcreekcapital.com,hotcreekcapital.com,162371,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=943957
1/14/2026,H Partners,New York,Prospect,1/14/2026,3,0,https://www.hpartnerslp.com,hpartnerslp.com,161041,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=965777
1/13/2026,IBS Capital,Massachusetts,Prospect,1/13/2026,1,0,http://www.sec.gov,ibscapital.com,160585,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=959232
,Inukshuk C,Ontario,Prospect,1/10/2026,0,0,https://inul.inukshukcapital.com,inukshukcapital.com,333697,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=984859
,JAT Capital,Texas,Prospect,1/10/2026,0,0,http://jatca.jatcapital.com,jatcapital.com,286343,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=596302
,Lion Point,New York,Prospect,1/10/2026,0,0,http://www.lionpoint.com,lionpoint.com,174322,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=969108
,Littlejohn,Connecticut,Prospect,1/14/2026,30,0,https://littlel.littlejohnllc.com,littlejohnllc.com,156720,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=965271
,Mackenzie,Ontario,Prospect,1/10/2026,0,0,https://www.mackenzieinvestments.com,mackenzieinvestments.com,110338,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=964194
7/15/2025,Mill Road,Connecticut,Prospect,1/10/2026,5,0,https://www.millroadcapital.com,millroadcapital.com,157095,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=970143
,Monarch Investment,Massachusetts,Prospect,1/14/2026,11,0,,mimginvestment.com,159465,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=966772
,Net Return,New York,Prospect,1/10/2026,0,0,,sec.gov,158895,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=961383
,Niles Invest,Florida,Prospect,1/10/2026,0,0,https://www.nilesinvestmentmanagement.com,nilesinvestmentmanagement.com,329384,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=958438
,Oberon Ass,New York,Prospect,1/10/2026,0,0,http://ober.oberonasset.com,oberonasset.com,123494,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=952138
1/14/2026,Omega Fun,Massachusetts,Prospect,1/14/2026,4,0,https://ome.omegafunds.com,omegafunds.com,157753,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=971571
,PDT Partners,New York,Prospect,1/14/2026,12,0,https://www.pdtpartners.com,pdtpartners.com,163776,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=971034
,P. Schoenf,New York,Prospect,1/10/2026,0,0,https://psa.thehedgefundjournal.com,psam.com,149236,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=985375
,Riskowitz C,New York,Prospect,1/10/2026,0,0,https://www.preqin.com,riskowitzcapital.com,170790,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=768560
8/11/2025,Sheffield As,Illinois,Prospect,1/10/2026,3,0,https://www.sheffieldmgmt.com,sheffieldmgmt.com,137065,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=960582
,Southern R,New York,Prospect,1/14/2026,17,0,https://www.southernridgescapital.com,southernridgescapital.com,311358,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=961903
,Spruceview,Colorado,Prospect,1/14/2026,4,0,http://spru.spruceviewpartners.com,spruceviewpartners.com,171963,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=986578
9/4/2024,Templeton,Tennessee,Prospect,1/10/2026,2,0,http://www.templetonandphillips.com,templetonandphillips.com,149101,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=964751
2/5/2025,The Magnolia,Nebraska,Prospect,1/10/2026,2,0,,themagnoliagroupllc.net,171102,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=963238
1/9/2026,Trails Edge,Georgia,Prospect,1/10/2026,2,0,,sec.gov,335659,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=992702
,UAS Asset,New York,Prospect,1/10/2026,0,0,https://www.uasam.com,uasam.com,21274,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=971022
6/2/2025,Ursa Fund,California,Prospect,1/10/2026,1,0,http://www.ursafund.com,ursafund.com,283363,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=947272
,Voleon Cap,California,Prospect,1/14/2026,29,0,https://vole.voleon.com,voleon.com,147443,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=972492
1/12/2026,Voss Capita,Texas,Prospect,1/12/2026,3,0,https://www.vosscap.com,vosscap.com,158929,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=978212
7/19/2024,Voyager Glo,New York,Prospect,1/10/2026,2,0,http://www.sec.gov,voyagerglobal.com,311921,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=961515
,Welton Inve,California,Prospect,1/14/2026,5,0,https://www.welton.com,welton.com,172452,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=985595
6/18/2025,Woodmont,Tennessee,Prospect,1/10/2026,3,0,https://www.woodmontcounsel.com,woodmontcounsel.com,109779,https://files.adviserinfo.sec.gov/IAPD/Content/Common/crd_iapd_Brochure.aspx?BRCHR_VRSN_ID=985915
